0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,,,,,,,,,
,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,"January 26, 2020","January 26, 2020","January 26, 2020",,"January 27, 2019","January 27, 2019","January 27, 2019",,"January 28, 2018","January 28, 2018","January 28, 2018"
Revenue,$,10918,,,$,11716,,,$,9714,
Cost of revenue,4150,4150,,,4545,4545,,,3892,3892,
Gross profit,6768,6768,,,7171,7171,,,5822,5822,
Operating expenses,,,,,,,,,,,
Research and development,2829,2829,,,2376,2376,,,1797,1797,
"Sales, general and administrative",1093,1093,,,991,991,,,815,815,
Total operating expenses,3922,3922,,,3367,3367,,,2612,2612,
Income from operations,2846,2846,,,3804,3804,,,3210,3210,
Interest income,178,178,,,136,136,,,69,69,
Interest expense,(52,(52,),,(58,(58,),,(61,(61,)
"Other, net",(2,(2,),,14,14,,,(22,(22,)
Total other income (expense),124,124,,,92,92,,,(14,(14,)
Income before income tax,2970,2970,,,3896,3896,,,3196,3196,
Income tax expense (benefit),174,174,,,(245,(245,),,149,149,
Net income,$,2796,,,$,4141,,,$,3047,
,,,,,,,,,,,
Net income per share:,,,,,,,,,,,
Basic,$,4.59,,,$,6.81,,,$,5.09,
Diluted,$,4.52,,,$,6.63,,,$,4.82,
,,,,,,,,,,,
Weighted average shares used in per share computation:,,,,,,,,,,,
Basic,609,609,,,608,608,,,599,599,
Diluted,618,618,,,625,625,,,632,632,
