0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,"January 26,2020","January 26,2020","January 26,2020",,"January 27,2019","January 27,2019","January 27,2019",,"January 28,2018","January 28,2018","January 28,2018",,"January 29,2017","January 29,2017","January 29,2017",,"January 31,2016 (A)","January 31,2016 (A)","January 31,2016 (A)"
Consolidated Statements of Income Data:,"(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)","(In millions, except per share data)"
Revenue,$,10918,,,$,11716,,,$,9714,,,$,6910,,,$,5010,
Income from operations,$,2846,,,$,3804,,,$,3210,,,$,1934,,,$,747,
Net income,$,2796,,,$,4141,,,$,3047,,,$,1666,,,$,614,
Net income per share:,,,,,,,,,,,,,,,,,,,
Basic,$,4.59,,,$,6.81,,,$,5.09,,,$,3.08,,,$,1.13,
Diluted,$,4.52,,,$,6.63,,,$,4.82,,,$,2.57,,,$,1.08,
Weighted average shares used in per share computation:,,,,,,,,,,,,,,,,,,,
Basic,609,609,,,608,608,,,599,599,,,541,541,,,543,543,
Diluted,618,618,,,625,625,,,632,632,,,649,649,,,569,569,
