0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"January 30, 2022","January 30, 2022","January 30, 2022",,,,"January 31, 2021","January 31, 2021","January 31, 2021"
Revenue,Revenue,Revenue,100.0,100.0,%,,,,100.0,100.0,%
Cost of revenue,Cost of revenue,Cost of revenue,35.1,35.1,,,,,37.7,37.7,
Gross profit,Gross profit,Gross profit,64.9,64.9,,,,,62.3,62.3,
Operating expenses:,Operating expenses:,Operating expenses:,,,,,,,,,
Research and development,Research and development,Research and development,19.6,19.6,,,,,23.5,23.5,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",8.0,8.0,,,,,11.6,11.6,
,,,,,,,,,,,
Total operating expenses,Total operating expenses,Total operating expenses,27.6,27.6,,,,,35.1,35.1,
Income from operations,Income from operations,Income from operations,37.3,37.3,,,,,27.2,27.2,
Interest income,Interest income,Interest income,0.1,0.1,,,,,0.3,0.3,
Interest expense,Interest expense,Interest expense,(0.9),(0.9),,,,,(1.1),(1.1),
"Other, net","Other, net","Other, net",0.4,0.4,,,,,0.1,0.1,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",(0.4),(0.4),,,,,(0.7),(0.7),
Income before income tax expense,Income before income tax expense,Income before income tax expense,36.9,36.9,,,,,26.5,26.5,
Income tax expense,Income tax expense,Income tax expense,0.7,0.7,,,,,0.5,0.5,
Net income,Net income,Net income,36.2,36.2,%,,,,26.0,26.0,%
