0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"January 29, 2023","January 29, 2023","January 29, 2023",,,,"January 30, 2022","January 30, 2022","January 30, 2022",,,,"January 31, 2021","January 31, 2021","January 31, 2021"
Revenue,Revenue,Revenue,$,26974,,,,,$,26914,,,,,$,16675,
Cost of revenue,Cost of revenue,Cost of revenue,11618,11618,,,,,9439,9439,,,,,6279,6279,
Gross profit,Gross profit,Gross profit,15356,15356,,,,,17475,17475,,,,,10396,10396,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,,,,,,,
Research and development,Research and development,Research and development,7339,7339,,,,,5268,5268,,,,,3924,3924,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",2440,2440,,,,,2166,2166,,,,,1940,1940,
Acquisition termination cost,Acquisition termination cost,Acquisition termination cost,1353,1353,,,,,—,—,,,,,—,—,
Total operating expenses,Total operating expenses,Total operating expenses,11132,11132,,,,,7434,7434,,,,,5864,5864,
Income from operations,Income from operations,Income from operations,4224,4224,,,,,10041,10041,,,,,4532,4532,
Interest income,Interest income,Interest income,267,267,,,,,29,29,,,,,57,57,
Interest expense,Interest expense,Interest expense,(262),(262),,,,,(236),(236),,,,,(184),(184),
"Other, net","Other, net","Other, net",(48),(48),,,,,107,107,,,,,4,4,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",(43),(43),,,,,(100),(100),,,,,(123),(123),
Income before income tax,Income before income tax,Income before income tax,4181,4181,,,,,9941,9941,,,,,4409,4409,
Income tax expense (benefit),Income tax expense (benefit),Income tax expense (benefit),(187),(187),,,,,189,189,,,,,77,77,
Net income,Net income,Net income,$,4368,,,,,$,9752,,,,,$,4332,
,,,,,,,,,,,,,,,,,
Net income per share:,Net income per share:,Net income per share:,,,,,,,,,,,,,,,
Basic,Basic,Basic,$,1.76,,,,,$,3.91,,,,,$,1.76,
Diluted,Diluted,Diluted,$,1.74,,,,,$,3.85,,,,,$,1.73,
,,,,,,,,,,,,,,,,,
Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,,,,,,,,,,,,,,,
Basic,Basic,Basic,2487,2487,,,,,2496,2496,,,,,2467,2467,
Diluted,Diluted,Diluted,2507,2507,,,,,2535,2535,,,,,2510,2510,
