Form_Type,Company_Name,CIK,Date_Filed,File_Name
10-K,Apple Inc.,0000320193,2023-11-03,edgar/data/320193/0000320193-23-000106.txt
10-K,DEERE & CO,0000315189,2023-12-15,edgar/data/315189/0001558370-23-019812.txt
10-K,EMERSON ELECTRIC CO,0000032604,2023-11-13,edgar/data/32604/0000032604-23-000044.txt
10-K,Walt Disney Co,0001744489,2023-11-21,edgar/data/1744489/0001744489-23-000216.txt
10-K,3M CO,0000066740,2022-02-09,edgar/data/66740/0000066740-22-000010.txt
10-K,ABBOTT LABORATORIES,0000001800,2022-02-18,edgar/data/1800/0001104659-22-025141.txt
10-K,ADVANCED MICRO DEVICES INC,0000002488,2022-02-03,edgar/data/2488/0000002488-22-000016.txt
10-K,AMERICAN EXPRESS CO,0000004962,2022-02-11,edgar/data/4962/0000004962-22-000008.txt
10-K,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,2022-02-17,edgar/data/5272/0001104659-22-024701.txt
10-K,AMGEN INC,0000318154,2022-02-16,edgar/data/318154/0000318154-22-000010.txt
10-K,BANK OF AMERICA CORP /DE/,0000070858,2022-02-22,edgar/data/70858/0000070858-22-000062.txt
10-K,BERKSHIRE HATHAWAY INC,0001067983,2022-02-28,edgar/data/1067983/0001564590-22-007322.txt
10-K,BOEING CO,0000012927,2022-01-31,edgar/data/12927/0000012927-22-000010.txt
10-K,BRISTOL MYERS SQUIBB CO,0000014272,2022-02-09,edgar/data/14272/0000014272-22-000051.txt
10-K,Bank of New York Mellon Corp,0001390777,2022-02-25,edgar/data/1390777/0001390777-22-000043.txt
10-K,CATERPILLAR INC,0000018230,2022-02-16,edgar/data/18230/0000018230-22-000050.txt
10-K,CHEVRON CORP,0000093410,2022-02-24,edgar/data/93410/0000093410-22-000019.txt
10-K,CITIGROUP INC,0000831001,2022-02-28,edgar/data/831001/0000831001-22-000036.txt
10-K,COCA COLA CO,0000021344,2022-02-22,edgar/data/21344/0000021344-22-000009.txt
10-K,COLGATE PALMOLIVE CO,0000021665,2022-02-17,edgar/data/21665/0000021665-22-000003.txt
10-K,COMCAST CORP,0001166691,2022-02-02,edgar/data/1166691/0001166691-22-000009.txt
10-K,CVS HEALTH Corp,0000064803,2022-02-09,edgar/data/64803/0000064803-22-000008.txt
10-K,DANAHER CORP /DE/,0000313616,2022-02-23,edgar/data/313616/0000313616-22-000061.txt
10-K,Duke Energy CORP,0001326160,2022-02-24,edgar/data/1326160/0001326160-22-000072.txt
10-K,ELI LILLY & Co,0000059478,2022-02-23,edgar/data/59478/0000059478-22-000068.txt
10-K,EXXON MOBIL CORP,0000034088,2022-02-23,edgar/data/34088/0000034088-22-000011.txt
10-K,FORD MOTOR CO,0000037996,2022-02-04,edgar/data/37996/0000037996-22-000013.txt
10-K,GENERAL DYNAMICS CORP,0000040533,2022-02-09,edgar/data/40533/0000040533-22-000007.txt
10-K,GENERAL ELECTRIC CO,0000040545,2022-02-11,edgar/data/40545/0000040545-22-000008.txt
10-K,General Motors Co,0001467858,2022-02-02,edgar/data/1467858/0001467858-22-000034.txt
10-K,"HOME DEPOT, INC.",0000354950,2022-03-23,edgar/data/354950/0000354950-22-000070.txt
10-K,HONEYWELL INTERNATIONAL INC,0000773840,2022-02-11,edgar/data/773840/0000773840-22-000018.txt
10-K,INTEL CORP,0000050863,2022-01-27,edgar/data/50863/0000050863-22-000007.txt
10-K,INTERNATIONAL BUSINESS MACHINES CORP,0000051143,2022-02-22,edgar/data/51143/0001558370-22-001584.txt
10-K,JOHNSON & JOHNSON,0000200406,2022-02-17,edgar/data/200406/0000200406-22-000022.txt
10-K,JPMORGAN CHASE & CO,0000019617,2022-02-22,edgar/data/19617/0000019617-22-000272.txt
10-K,Kraft Heinz Co,0001637459,2022-02-17,edgar/data/1637459/0001637459-22-000018.txt
10-K,LOCKHEED MARTIN CORP,0000936468,2022-01-25,edgar/data/936468/0000936468-22-000008.txt
10-K,LOWES COMPANIES INC,0000060667,2022-03-21,edgar/data/60667/0000060667-22-000038.txt
10-K,MCDONALDS CORP,0000063908,2022-02-24,edgar/data/63908/0000063908-22-000011.txt
10-K,"Merck & Co., Inc.",0000310158,2022-02-25,edgar/data/310158/0000310158-22-000003.txt
10-K,NEXTERA ENERGY INC,0000753308,2022-02-18,edgar/data/753308/0000753308-22-000014.txt
10-K,PEPSICO INC,0000077476,2022-02-10,edgar/data/77476/0000077476-22-000010.txt
10-K,TARGET CORP,0000027419,2022-03-09,edgar/data/27419/0000027419-22-000007.txt
10-K,US BANCORP \DE\,0000036104,2022-02-22,edgar/data/36104/0001193125-22-048709.txt
10-K,VERIZON COMMUNICATIONS INC,0000732712,2022-02-11,edgar/data/732712/0000732712-22-000008.txt
10-K,WELLS FARGO & COMPANY/MN,0000072971,2022-02-22,edgar/data/72971/0000072971-22-000096.txt
10-K,Medtronic plc,0001613103,2022-06-23,edgar/data/1613103/0001613103-22-000023.txt
10-K,FEDEX CORP,0001048911,2022-07-18,edgar/data/1048911/0000950170-22-012762.txt
10-K,"NIKE, Inc.",0000320187,2022-07-21,edgar/data/320187/0000320187-22-000038.txt
10-K,Medtronic plc,0001613103,2023-06-22,edgar/data/1613103/0001613103-23-000040.txt
10-K,FEDEX CORP,0001048911,2023-07-17,edgar/data/1048911/0000950170-23-033201.txt
10-K,"NIKE, Inc.",0000320187,2023-07-20,edgar/data/320187/0000320187-23-000039.txt
10-K,3M CO,0000066740,2023-02-08,edgar/data/66740/0000066740-23-000014.txt
10-K,ABBOTT LABORATORIES,0000001800,2023-02-17,edgar/data/1800/0001628280-23-004026.txt
10-K,ADVANCED MICRO DEVICES INC,0000002488,2023-02-27,edgar/data/2488/0000002488-23-000047.txt
10-K,AMERICAN EXPRESS CO,0000004962,2023-02-10,edgar/data/4962/0000004962-23-000006.txt
10-K,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,2023-02-17,edgar/data/5272/0000005272-23-000007.txt
10-K,AMGEN INC,0000318154,2023-02-09,edgar/data/318154/0000318154-23-000017.txt
10-K,BANK OF AMERICA CORP /DE/,0000070858,2023-02-22,edgar/data/70858/0000070858-23-000092.txt
10-K,BERKSHIRE HATHAWAY INC,0001067983,2023-02-27,edgar/data/1067983/0000950170-23-004451.txt
10-K,BOEING CO,0000012927,2023-01-27,edgar/data/12927/0000012927-23-000007.txt
10-K,BRISTOL MYERS SQUIBB CO,0000014272,2023-02-14,edgar/data/14272/0000014272-23-000046.txt
10-K,Bank of New York Mellon Corp,0001390777,2023-02-27,edgar/data/1390777/0001390777-23-000033.txt
10-K,CATERPILLAR INC,0000018230,2023-02-15,edgar/data/18230/0000018230-23-000011.txt
10-K,CHEVRON CORP,0000093410,2023-02-23,edgar/data/93410/0000093410-23-000009.txt
10-K,CITIGROUP INC,0000831001,2023-02-27,edgar/data/831001/0000831001-23-000037.txt
10-K,COCA COLA CO,0000021344,2023-02-21,edgar/data/21344/0000021344-23-000011.txt
10-K,COLGATE PALMOLIVE CO,0000021665,2023-02-16,edgar/data/21665/0000021665-23-000007.txt
10-K,COMCAST CORP,0001166691,2023-02-03,edgar/data/1166691/0001166691-23-000010.txt
10-K,CVS HEALTH Corp,0000064803,2023-02-08,edgar/data/64803/0000064803-23-000009.txt
10-K,DANAHER CORP /DE/,0000313616,2023-02-22,edgar/data/313616/0000313616-23-000087.txt
10-K,Duke Energy CORP,0001326160,2023-02-27,edgar/data/1326160/0001326160-23-000073.txt
