Form_Type,Company_Name,CIK,Date_Filed,File_Name
10-K,Accenture plc,0001467373,2023-10-12,edgar/data/1467373/0001467373-23-000324.txt
10-K,Apple Inc.,0000320193,2023-11-03,edgar/data/320193/0000320193-23-000106.txt
10-K,Broadcom Inc.,0001730168,2023-12-14,edgar/data/1730168/0001730168-23-000096.txt
10-K,COSTCO WHOLESALE CORP /NEW,0000909832,2023-10-11,edgar/data/909832/0000909832-23-000042.txt
10-K,DEERE & CO,0000315189,2023-12-15,edgar/data/315189/0001558370-23-019812.txt
10-K,EMERSON ELECTRIC CO,0000032604,2023-11-13,edgar/data/32604/0000032604-23-000044.txt
10-K,QUALCOMM INC/DE,0000804328,2023-11-01,edgar/data/804328/0000804328-23-000055.txt
10-K,STARBUCKS CORP,0000829224,2023-11-17,edgar/data/829224/0000829224-23-000058.txt
10-K,VISA INC.,0001403161,2023-11-15,edgar/data/1403161/0001403161-23-000099.txt
10-K,Walt Disney Co,0001744489,2023-11-21,edgar/data/1744489/0001744489-23-000216.txt
10-K,3M CO,0000066740,2022-02-09,edgar/data/66740/0000066740-22-000010.txt
10-K,ABBOTT LABORATORIES,0000001800,2022-02-18,edgar/data/1800/0001104659-22-025141.txt
10-K,ADOBE INC.,0000796343,2022-01-21,edgar/data/796343/0000796343-22-000032.txt
10-K,ADVANCED MICRO DEVICES INC,0000002488,2022-02-03,edgar/data/2488/0000002488-22-000016.txt
10-K,"ALTRIA GROUP, INC.",0000764180,2022-02-25,edgar/data/764180/0000764180-22-000019.txt
10-K,AMAZON COM INC,0001018724,2022-02-04,edgar/data/1018724/0001018724-22-000005.txt
10-K,AMERICAN EXPRESS CO,0000004962,2022-02-11,edgar/data/4962/0000004962-22-000008.txt
10-K,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,2022-02-17,edgar/data/5272/0001104659-22-024701.txt
10-K,AMERICAN TOWER CORP /MA/,0001053507,2022-02-25,edgar/data/1053507/0001053507-22-000017.txt
