gvkey,conm,tic,cusip,cik,sic
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845
001161,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331
001602,AMGEN INC,AMGN,031162100,0000318154,2836
001690,APPLE INC,AAPL,037833100,0000320193,3663
002019,BANK OF NEW YORK MELLON CORP,BK,064058100,0001390777,6020
002136,VERIZON COMMUNICATIONS INC,VZ,92343V104,0000732712,4812
002176,BERKSHIRE HATHAWAY,BRK.B,084670702,0001067983,9997
002285,BOEING CO,BA,097023105,0000012927,3721
002403,BRISTOL-MYERS SQUIBB CO,BMY,110122108,0000014272,2834
002817,CATERPILLAR INC,CAT,149123101,0000018230,3531
002968,JPMORGAN CHASE & CO,JPM,46625H100,0000019617,6020
002991,CHEVRON CORP,CVX,166764100,0000093410,2911
003144,COCA-COLA CO,KO,191216100,0000021344,2086
003170,COLGATE-PALMOLIVE CO,CL,194162103,0000021665,2844
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841
003243,CITIGROUP INC,C,172967424,0000831001,6199
003735,DANAHER CORP,DHR,235851102,0000313616,3826
003813,TARGET CORP,TGT,87612E106,0000027419,5331
003835,DEERE & CO,DE,244199105,0000315189,3523
003980,DISNEY (WALT) CO,DIS,254687106,0001744489,4888
004093,DUKE ENERGY CORP,DUK,26441C204,0001326160,4931
004321,EMERSON ELECTRIC CO,EMR,291011104,0000032604,3823
004503,EXXON MOBIL CORP,XOM,30231G102,0000034088,2911
004517,NEXTERA ENERGY INC,NEE,65339F101,0000753308,4911
004598,FEDEX CORP,FDX,31428X106,0001048911,4513
004723,US BANCORP,USB,902973304,0000036104,6020
004839,FORD MOTOR CO,F,345370860,0000037996,3711
005046,GENERAL DYNAMICS CORP,GD,369550108,0000040533,3721
005047,GENERAL ELECTRIC CO,GE,369604301,0000040545,9997
005073,GENERAL MOTORS CO,GM,37045V100,0001467858,3711
005568,KRAFT HEINZ CO,KHC,500754106,0001637459,2030
005680,HOME DEPOT INC,HD,437076102,0000354950,5211
006008,INTEL CORP,INTC,458140100,0000050863,3674
006066,INTL BUSINESS MACHINES CORP,IBM,459200101,0000051143,7370
006266,JOHNSON & JOHNSON,JNJ,478160104,0000200406,2834
006730,LILLY (ELI) & CO,LLY,532457108,0000059478,2834
006774,LOCKHEED MARTIN CORP,LMT,539830109,0000936468,3760
006829,LOWE'S COS INC,LOW,548661107,0000060667,5211
007154,MCDONALD'S CORP,MCD,580135101,0000063908,5812
007228,MEDTRONIC PLC,MDT,G5960L103,0001613103,3845
007241,CVS HEALTH CORP,CVS,126650100,0000064803,8000
007257,MERCK & CO,MRK,58933Y105,0000310158,2834
007435,3M CO,MMM,88579Y101,0000066740,2670
007647,BANK OF AMERICA CORP,BAC,060505104,0000070858,6020
007906,NIKE INC  -CL B,NKE,654106103,0000320187,3021
008007,WELLS FARGO & CO,WFC,949746101,0000072971,6020
008479,PEPSICO INC,PEP,713448108,0000077476,2080
008530,PFIZER INC,PFE,717081103,0000078003,2834
008539,EXELON CORP,EXC,30161N101,0001109357,4911
008543,ALTRIA GROUP INC,MO,02209S103,0000764180,2111
008549,CONOCOPHILLIPS,COP,20825C104,0001163165,1311
008762,PROCTER & GAMBLE CO,PG,742718109,0000080424,2840
009850,SOUTHERN CO,SO,842587107,0000092122,4911
009899,AT&T INC,T,00206R102,0000732717,4812
010499,TEXAS INSTRUMENTS INC,TXN,882508104,0000097476,3674
010530,THERMO FISHER SCIENTIFIC INC,TMO,883556102,0000097745,3826
010867,UNION PACIFIC CORP,UNP,907818108,0000100885,4011
